CompName_EnglishLeague,"CompName_EnglishLeagueA,CompName_EnglishLeagueB,CompName_EnglishLeagueC",0
CompName_SpanishLeague,"CompName_SpanishLeagueA,CompName_SpanishLeagueB,CompName_SpanishLeagueC",1
CompName_FrenchLeague,"CompName_FrenchLeagueA,CompName_FrenchLeagueB,CompName_FrenchLeagueC",2
CompName_ItalianLeague,"CompName_ItalianLeagueA,CompName_ItalianLeagueB,CompName_ItalianLeagueC",4
CompName_GermanLeague,"CompName_GermanLeagueA,CompName_GermanLeagueB,CompName_GermanLeagueC",3
CompName_ArgentinaLeague,"CompName_ArgentinaLeagueA,CompName_ArgentinaLeagueB,CompName_ArgentinaLeagueC",6
CompName_IndonesianLeague,"CompName_IndonesianLeagueA,CompName_IndonesianLeagueB,CompName_IndonesianLeagueC",7
CompName_BrazilLeague,"CompName_BrazilLeagueA,CompName_BrazilLeagueB,CompName_BrazilLeagueC",5
CompName_TurkishLeague,"CompName_TurkishLeagueA,CompName_TurkishLeagueB,CompName_TurkishLeagueC",8
CompName_AmericanLeague,"CompName_AmericanLeagueA,CompName_AmericanLeagueB,CompName_AmericanLeagueC",9
CompName_SaudiArabianLeague,"CompName_SaudiArabianLeagueA,CompName_SaudiArabianLeagueB,CompName_SaudiArabianLeagueC",10
CompName_MexicanLeague,"CompName_MexicanLeagueA,CompName_MexicanLeagueB,CompName_MexicanLeagueC",11
CompName_ThailandLeague,"CompName_ThailandLeagueA,CompName_ThailandLeagueB,CompName_ThailandLeagueC",12
CompName_PortugueseLeague,"CompName_PortugueseLeagueA,CompName_PortugueseLeagueB,CompName_PortugueseLeagueC",13
CompName_JapanLeague,"CompName_JapanLeagueA,CompName_JapanLeagueB,CompName_JapanLeagueC",14
CompName_EgyptianLeague,"CompName_EgyptianLeagueA,CompName_EgyptianLeagueB,CompName_EgyptianLeagueC",15
CompName_RussianLeague,"CompName_RussianLeagueA,CompName_RussianLeagueB,CompName_RussianLeagueC",16
CompName_ColombianLeague,"CompName_ColombianLeagueA,CompName_ColombianLeagueB,CompName_ColombianLeagueC",17
CompName_IndianLeague,"CompName_IndianLeagueA,CompName_IndianLeagueB,CompName_IndianLeagueC",18
CompName_ScottishLeague,"CompName_ScottishLeagueA,CompName_ScottishLeagueB,CompName_ScottishLeagueC",19
CompName_DutchLeague,"CompName_DutchLeagueA,CompName_DutchLeagueB,CompName_DutchLeagueC",20
CompName_SouthAfricaLeague,"CompName_SouthAfricaLeagueA,CompName_SouthAfricaLeagueB,CompName_SouthAfricaLeagueC",21
CompName_KoreanLeague,"CompName_KoreanLeagueA,CompName_KoreanLeagueB,CompName_KoreanLeagueC",22
CompName_BelgianLeague,"CompName_BelgianLeagueA,CompName_BelgianLeagueB,CompName_BelgianLeagueC",23
CompName_IranLeague,"CompName_IranLeagueA,CompName_IranLeagueB,CompName_IranLeagueC",24
