CompName_EnglishLeague,CompName_EnglishLeagueA,0
CompName_SpanishLeague,CompName_SpanishLeagueA,1
CompName_FrenchLeague,CompName_FrenchLeagueA,2
CompName_ItalianLeague,CompName_ItalianLeagueA,4
CompName_GermanLeague,CompName_GermanLeagueA,3
CompName_BrazilLeague,CompName_BrazilLeagueA,5
CompName_ArgentinaLeague,CompName_ArgentinaLeagueA,6
CompName_IndonesianLeague,CompName_IndonesianLeagueA,7
CompName_AmericanLeague,CompName_AmericanLeagueA,8
CompName_TurkishLeague,CompName_TurkishLeagueA,9
CompName_MexicanLeague,CompName_MexicanLeagueA,10
CompName_ThailandLeague,CompName_ThailandLeagueA,11
CompName_SaudiArabianLeague,CompName_SaudiArabianLeagueA,12
CompName_JapanLeague,CompName_JapanLeagueA,13
CompName_PortugueseLeague,CompName_PortugueseLeagueA,14
CompName_KoreanLeague,CompName_KoreanLeagueA,15
CompName_DutchLeague,CompName_DutchLeagueA,16
CompName_BangladeshLeague,CompName_BangladeshLeagueA,17
CompName_SouthAfricaLeague,CompName_SouthAfricaLeagueA,18
CompName_MalaysiaLeague,CompName_MalaysiaLeagueA,19
CompName_EgyptianLeague,CompName_EgyptianLeagueA,20
CompName_VietnamLeague,CompName_VietnamLeagueA,21
CompName_RussianLeague,CompName_RussianLeagueA,22
CompName_ColombianLeague,CompName_ColombianLeagueA,23
CompName_IndianLeague,CompName_IndianLeagueA,24
CompName_ScottishLeague,CompName_ScottishLeagueA,25
CompName_EcuadorianLeague,CompName_EcuadorianLeagueA,26
CompName_GreekLeague,CompName_GreekLeagueA,27
CompName_PeruvianLeague,CompName_PeruvianLeagueA,28
CompName_BelgianLeague,CompName_BelgianLeagueA,29
CompName_USAWomenLeauge,CompName_USAWomenLeaugeA,30
CompName_IranLeague,CompName_IranLeagueA,31
CompName_MoroccanLeague,CompName_MoroccanLeagueA,32
CompName_AlgerianLeague,CompName_AlgerianLeagueA,33
CompName_ParaguayanLeague,CompName_ParaguayanLeagueA,34
CompName_CroatianLeague,CompName_CroatianLeagueA,35
CompName_VenezuelaLeague,CompName_VenezuelaLeagueA,36
CompName_ChineseLeague,CompName_ChineseLeagueA,37
