jersey_up_white1,1
jersey_up_white2,1
jersey_up_white3,2
jersey_up_white4,1
jersey_up_white5,1
jersey_up_white6,1
jersey_up_white7,1
jersey_up_white8,1
jersey_up_white9,1
jersey_up_white10,1
jersey_up_white11,1
jersey_up_white12,1
jersey_up_white13,1
jersey_up_white14,1
jersey_up_white15,2
jersey_up_white16,1
jersey_up_white17,1
jersey_up_white18,1
jersey_up_white19,1
jersey_up_white20,1
jersey_up_white21,1
jersey_up_white22,1
jersey_up_white23,2
jersey_up_white24,1
jersey_up_white25,1
jersey_up_white26,1
jersey_up_white27,1
jersey_up_white28,2
jersey_up_white29,1
jersey_up_white30,1
jersey_up_white31,1
jersey_up_white32,2
jersey_up_white33,1
jersey_up_white,1
shirt_gk_2,2
shirt_gk_3,2
shirt_gk_1,2
