name,,
 3-1-4-2 ,"GK,LCB,CB,RCB,CDM,LCM,RCM,LM,RM,LS,RS",3142
 3-4-1-2 ,"GK,LCB,CB,RCB,LCM,RCM,CAM,LM,RM,LS,RS",3412
 3-4-2-1 ,"GK,LCB,CB,RCB,LCM,RCM,LAM,RAM,LM,RM,ST",3421
 3-5-2 ,"GK,LCB,CB,RCB,LDM,RDM,CAM,LM,RM,LS,RS",352
 4-2-4 ,"GK,LB,LCB,RCB,RB,LCM,RCM,LW,RW,LS,RS",424
4-3-3(1) ,"GK,LB,LCB,RCB,RB,CDM,LCM,RCM,LW,RW,ST",4331
4-3-3(2) ,"GK,LB,LCB,RCB,RB,LDM,RDM,CM,LW,RW,ST",4332
4-3-3(3) ,"GK,LB,LCB,RCB,RB,LCM,CM,RCM,LW,RW,ST",4333
4-3-3(4) ,"GK,LB,LCB,RCB,RB,LCM,RCM,CAM,LW,RW,ST",4334
4-4-2(1),"GK,LB,LCB,RCB,RB,LCM,RCM,LM,RM,LS,RS",4421
4-4-2(2),"GK,LB,LCB,RCB,RB,LDM,RDM,LM,RM,LS,RS",4422
 4-2-2-2 ,"GK,LB,LCB,RCB,RB,LDM,RDM,LAM,RAM,LS,RS",4222
 4-1-2-1-2 ,"GK,LB,LCB,RCB,RB,CDM,CAM,LM,RM,LS,RS",41212
4-1-2-1-2(2)  ,"GK,LB,LCB,RCB,RB,CDM,LCM,RCM,CAM,LS,RS",412122
 4-1-3-2 ,"GK,LB,LCB,RCB,RB,CDM,CM,LM,RM,LS,RS",4132
 4-3-1-2 ,"GK,LB,LCB,RCB,RB,LCM,CM,RCM,CAM,LS,RS",4312
4-4-1-1,"GK,LB,LCB,RCB,RB,LCM,RCM,CAM,LM,RM,ST",4411
4-5-1(1)  ,"GK,LB,LCB,RCB,RB,CM,LAM,RAM,LM,RM,ST",4511
4-5-1(2) ,"GK,LB,LCB,RCB,RB,LCM,CM,RCM,LM,RM,ST",4512
 4-1-4-1 ,"GK,LB,LCB,RCB,RB,CDM,LCM,RCM,LM,RM,ST",4141
4-2-3-1(1),"GK,LB,LCB,RCB,RB,LDM,RDM,LAM,CAM,RAM,ST",42311
4-2-3-1(2),"GK,LB,LCB,RCB,RB,LDM,RDM,CAM,LM,RM,ST",42312
 4-3-2-1 ,"GK,LB,LCB,RCB,RB,LCM,CM,RCM,LAM,RAM,ST",4321
 5-3-2 ,"GK,LWB,LCB,CB,RCB,RWB,LCM,CM,RCM,LS,RS",532
 5-2-1-2 ,"GK,LWB,LCB,CB,RCB,RWB,LCM,RCM,CAM,LS,RS",5212
 5-2-2-1 ,"GK,LWB,LCB,CB,RCB,RWB,LCM,RCM,LW,RW,ST",5221
 5-4-1 ,"GK,LWB,LCB,CB,RCB,RWB,LCM,RCM,LM,RM,ST",541
