path,guid,integrity,category,candidateCount
Assets/AnimationClip.meta,423e52145d4ba754ab0cb32beee8acc0,unchanged,directory,0
Assets/AnimatorController.meta,f5b568169b636354c8e51297126ebd5e,unchanged,directory,0
Assets/Avatar.meta,78f1a5045915ac441b7035a02edb4427,unchanged,directory,0
Assets/Cubemap.meta,9a6c2f7f0fc785f4597dbea2df652395,unchanged,directory,0
Assets/dynamiccrowd.meta,aa9a0ddb9054efe4a93f1bd181b5ab8f,unchanged,directory,0
Assets/Font.meta,c302ddd366742ae4fa7d535ea287370a,unchanged,directory,0
Assets/gamedata.meta,a0d668b272d7e8f4f8db8e0990e0b68b,unchanged,directory,0
Assets/GameObject.meta,001907a5066f2b64785e148c0fb5b345,unchanged,directory,0
Assets/LightingSettings.meta,0a580f6ef884c744cac318c93ba5167b,unchanged,directory,0
Assets/LightProbes.meta,401aac5f51e82204a8e11402caa6eed0,unchanged,directory,0
Assets/Manifest.asset.meta,27564d1e502936b418f0f0563f380429,unchanged,apk-container-path,1
Assets/Material.meta,841df95a0142fc64daee52ed2ea7ea01,unchanged,directory,0
Assets/materials.meta,0c184f720e7af8c46864d6966439ab9a,unchanged,directory,0
Assets/Mesh.meta,60db4b3195ab6184eb0e3689858f91b2,unchanged,directory,0
Assets/models.meta,756e49b0bba788944b9c6c43b8348ca2,unchanged,directory,0
Assets/MonoBehaviour.meta,66e4161d5e72c5e4bac1ca595816b9ac,unchanged,directory,0
Assets/PhysicMaterial.meta,26c5548f3434f53458aac6ec1c39a7df,unchanged,directory,0
Assets/Recovery.meta,174608b311d5b1e41b97c8cc244a38be,unchanged,directory,0
Assets/Resources.meta,27f569fd44db0c546bca13c625414aa5,unchanged,directory,0
Assets/Scenes.meta,dfb118d93b4e12942b42f86c8302e067,unchanged,directory,0
Assets/Scripts.meta,17ed16a7cddfdc6439df44d84fc68a5c,unchanged,directory,0
Assets/Shader.meta,c79f908e43829144298204141625426c,unchanged,directory,0
Assets/ShaderVariantCollection.meta,4c413b10b5f7a134499b4ec49b28951e,unchanged,directory,0
Assets/SoccerRecoveryValidation.meta,e637e880edb685f429a2e8e7b9fef462,unchanged,directory,0
Assets/Sprite.meta,9ea7107b59ae8a74ead59bf519b2001f,unchanged,directory,0
Assets/stadiumcommon.meta,e61b2eb93df7c3247a0b7071387ec11f,unchanged,directory,0
Assets/stadium_demo.meta,065ddde1d782f5c4eba43c0d60597e53,unchanged,directory,0
Assets/TextAsset.meta,80ac38066713f8b408f077b354b30833,unchanged,directory,0
Assets/Texture2D.meta,d10bcb6c32fbb1b45abc377937e5c33c,unchanged,directory,0
Assets/textures.meta,9c75a12ee8e1e1349917a0577ec0a446,unchanged,directory,0
Assets/Timeline.meta,9387acad1bdfa4c4f9df63d40c2ffc68,unchanged,directory,0
Assets/ui.meta,77f5da3ef3bb34346afa99968617a13d,unchanged,directory,0
Assets/AnimationClip/Ani_Btn_light.anim.meta,7a26d836a3f2e874c94f4dca163e9aac,unchanged,unresolved,0
Assets/AnimationClip/Ani_Text.anim.meta,aac9eedfa0386d143b0e89f198894302,unchanged,unresolved,0
Assets/AnimationClip/aubameyang.anim.meta,929042f04c830d741b3acc46bc9bd939,unchanged,unresolved,0
Assets/AnimationClip/Beginning_Corner.anim.meta,5a4687380ceb2244f9dcf2fd7676b992,unchanged,unresolved,0
Assets/AnimationClip/Beginning_Corner_0.anim.meta,b566a4347f13f4b479bc72ca500d27f1,unchanged,unresolved,0
Assets/AnimationClip/Beginning_Field.anim.meta,05c50327497e10343aa99fa8455827b9,unchanged,unresolved,0
Assets/AnimationClip/Beginning_Field_0.anim.meta,6c0ef39348e6c5042be28349fe3ce55e,unchanged,unresolved,0
Assets/AnimationClip/Beginning_Net.anim.meta,7addfca24753d834f80178472e1c5655,unchanged,unresolved,0
Assets/AnimationClip/Beginning_Net_0.anim.meta,52bf7455c7490eb4ba93f5f4b56ce1d2,unchanged,unresolved,0
Assets/AnimationClip/Bellerin.anim.meta,30244c08d4ed7994dbc8caff9a5248c3,unchanged,unresolved,0
Assets/AnimationClip/bellerin_1.anim.meta,66e71c162e1ee2b4199a2878747ef15a,unchanged,unresolved,0
Assets/AnimationClip/bellerin_2.anim.meta,36bc0f67ba0e8dd47a5985b5b61a7c8d,unchanged,unresolved,0
Assets/AnimationClip/bellerin_3.anim.meta,44948c89eb936f6478cb0c3bb9202c76,unchanged,unresolved,0
Assets/AnimationClip/celebration_happy1.anim.meta,0aad35a1d4e0bf940a7ab15f2b2ced8b,unchanged,unresolved,0
Assets/AnimationClip/celebration_happy2.anim.meta,00c6fc40de6dc2e45a46f1a75acb1b11,unchanged,unresolved,0
Assets/AnimationClip/celebration_happy3.anim.meta,70996695d4df0e847aa28051a77ad504,unchanged,unresolved,0
Assets/AnimationClip/celebration_happy4.anim.meta,233e6b7a6c0adfd4e9087ec31ce02523,unchanged,unresolved,0
Assets/AnimationClip/celebration_sprint.anim.meta,126685feac1967449a8b9f04fb44a7c3,unchanged,unresolved,0
Assets/AnimationClip/cele_dance_female.anim.meta,fe41f869e4a15a941ae83361b5f77bca,unchanged,unresolved,0
Assets/AnimationClip/cele_drink_female.anim.meta,a4e9b447b5bd3ae45b7eb1c7fda14c9d,unchanged,unresolved,0
Assets/AnimationClip/cele_kiss_female.anim.meta,2f6dd3194d489e944810a7dccdee5f92,unchanged,unresolved,0
Assets/AnimationClip/cele_raisehands_female.anim.meta,f45f735c51cb5cb4589379f94b775358,unchanged,unresolved,0
Assets/AnimationClip/commentary01.anim.meta,722547f209ffa87438d692f28fb04fba,unchanged,unresolved,0
Assets/AnimationClip/commentary01_0.anim.meta,a29c6c1416461904d8e974c219b5b2f4,unchanged,unresolved,0
Assets/AnimationClip/commentary02.anim.meta,373127e2f03701d4d8468a5f681801e3,unchanged,unresolved,0
Assets/AnimationClip/commentary02_0.anim.meta,d086e8ada7b2fb547b8d3aa09c53d685,unchanged,unresolved,0
Assets/AnimationClip/commentary04.anim.meta,0ddd2a1473dea9c4cbf5c8f0e266fa96,unchanged,unresolved,0
Assets/AnimationClip/commentary04_0.anim.meta,422f3aa18db4e1e468327ecbbba8ab26,unchanged,unresolved,0
Assets/AnimationClip/drinkTea.anim.meta,33e4144746bdde247b903f26b42d4554,unchanged,unresolved,0
Assets/AnimationClip/drinkTea2.anim.meta,a7ad1fc359892f544812a70bb5769cb2,unchanged,unresolved,0
Assets/AnimationClip/drinkTea3.anim.meta,978df5d76baad7f418a7e6be06e386c7,unchanged,unresolved,0
Assets/AnimationClip/end_match_champion_clap.anim.meta,eb4ac709c1b34ba4c966cccf0d877e5e,unchanged,unresolved,0
