id,name,Continent,A,B,C,D,type
20026,EnglishA_ManchesterCity,Europe,500,0,0,0,
20027,EnglishA_Liverpool,Europe,300,0,0,0,
20028,EnglishA_Chelsea,Europe,400,0,0,0,
20031,EnglishA_ManchesterUnited,Europe,100,0,0,0,
20101,SpanishA_Barcelona,Europe,200,0,0,0,
20102,SpanishA_RealMadrid,Europe,400,0,0,0,
20076,ItalianA_Juventus,Europe,50,0,0,0,
20078,ItalianA_InternazionaleMilano,Europe,100,0,0,0,
20080,ItalianA_AssociazioneCalcioMilan,Europe,100,0,0,0,
20126,GermanA_BayernMunchen,Europe,400,0,0,0,
20127,GermanA_Dortmund,Europe,50,0,0,0,
20055,FrenchA_Marseille,Europe,50,0,0,0,
20189,DutchA_AjaxAmsterdam,Europe,20,0,0,0,
20181,PortugueseA_Porto,Europe,20,0,0,0,
20553,JapanLeagueA_UrawaRedDiamonds,Asia,500,0,0,0,
20781,JapanLeagueA_GambaOsaka,Asia,200,0,0,0,
20446,JapanLeagueA_KashimaAntlers,Asia,400,0,0,0,
20442,KoreanLeagueA_UlsanHyundaiFC,Asia,400,0,0,0,
20530,KoreanLeagueA_JeonbukHyundaiMotors,Asia,300,0,0,0,
20789,KoreanLeagueA_PohangSteelers,Asia,200,0,0,0,
20534,ChineseLeagueA_ShanghaiPortF.C.,Asia,50,0,0,0,
20548,ChineseLeagueA_ShandongTaishan,Asia,50,0,0,0,
20436,SaudiArabianA_AlHilalSFC,Asia,500,0,0,0,
20546,SaudiArabianLeagueA_Al-IttihadClub,Asia,100,0,0,0,
20443,QatarLeagueA_AlSaddSC,Asia,50,0,0,0,
20445,UAELeagueA_AlAinFC,Asia,50,0,0,0,
20001,BrazilA_AtléticoMineiro,South_American,500,0,0,0,
20002,BrazilA_Flamengo,South_American,500,0,0,0,
20003,BrazilA_Palmeiras,South_American,500,0,0,0,
20007,BrazilA_Fluminense,South_American,400,0,0,0,
20151,ArgentinaA_AtléticoBocaJuniors,South_American,400,0,0,0,
20152,ArgentinaA_AtléticoRiverPlate,South_American,400,0,0,0,
20237,ColombianA_AtléticoNacional,South_American,200,0,0,0,
20247,ParaguayanA_ClubOlimpia,South_American,100,0,0,0,
20232,UruguayanA_ClubNacionaldeFootball,South_American,100,0,0,0,
20234,UruguayanA_ClubAtléticoPeñarol,South_American,100,0,0,0,
20243,ChileA_ClubSocialyDeportivoColo-Colo,South_American,100,0,0,0,
20584,MexicanLeagueA_CruzAzul,North_American,500,0,0,0,
20595,MexicanLeagueA_ClubAmérica,North_American,500,0,0,0,
20644,MexicanLeagueA_C.F.Pachuca,North_American,500,0,0,0,
20439,MexicanLeagueA_C.F.Monterrey,North_American,500,0,0,0,
20592,CostaRicaLeagueA_DeportivoSaprissa,North_American,200,0,0,0,
20597,CostaRicaLeagueA_Alajuelense,North_American,200,0,0,0,
20598,HondurasLeagueA_C.D.Olimpia,North_American,100,0,0,0,
20569,MajorLeagueA_LosAngelesFC,North_American,100,0,0,0,
20998,MoroccanLeagueA_WydadCasablanca,African,500,0,0,0,
20999,MoroccanLeagueA_RajaClubAthletic,African,300,0,0,0,
20438,EgyptianLeagueA_AlAhlySC,African,500,0,0,0,
20907,EgyptianLeagueA_ZamalekSC,African,300,0,0,0,
20444,TunisianLeagueA_ESTunis,African,500,0,0,0,
30006,TunisianLeagueA_EtoileSportiveduSahel,African,300,0,0,0,
20851,SouthAfricaLeagueA_MamelodiSundownsFC,African,400,0,0,0,
30011,DRCongoLeagueA_TPMazembe,African,200,0,0,0,
30040,New_ZealandLeagueA_AucklandCityFC,Oceania,1,0,0,0,
